Label,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MEAN_INTENSITY01,MEAN_INTENSITY02,MEAN_INTENSITY03,MEAN_INTENSITY04,MEAN_INTENSITY05,MEAN_INTENSITY06,MEAN_INTENSITY07,MEAN_INTENSITY08,MEAN_INTENSITY09,MEAN_INTENSITY10,MANUAL_COLOR,MEAN_INTENSITY,MEDIAN_INTENSITY,MIN_INTENSITY,MAX_INTENSITY,TOTAL_INTENSITY,STANDARD_DEVIATION,ESTIMATED_DIAMETER,CONTRAST,SNR
ID622,622,0,-1,5.27921,4.31935,2.50000,0.00000,0,0.39269,1,257.01266,404.75949,6522.30380,None,None,None,None,None,None,None,-10921639,257.01266,245,58,470,20304,98.58921,1.49223,0.12401,0.57524
ID616,616,0,-1,5.24409,4.29594,2.50000,30.76114,1,0.39269,1,273.08861,455.59494,6376.36709,None,None,None,None,None,None,None,-10921639,273.08861,269,59,517,21574,109.23606,1.43035,0.11829,0.52890
ID610,610,0,-1,5.27921,4.26082,2.50000,61.52228,2,0.39269,1,255.41772,372.51899,5739.16456,None,None,None,None,None,None,None,-10921639,255.41772,260,63,478,20178,95.15569,1.44137,0.07754,0.38629
ID604,604,0,-1,5.24409,4.30764,2.50000,92.28342,3,0.39269,1,289.64557,476.97468,6601.13924,None,None,None,None,None,None,None,-10921639,289.64557,294,104,521,22882,100.39014,1.37896,0.11950,0.61597
ID598,598,0,-1,5.22068,4.26082,2.50000,123.04456,4,0.39269,1,268.39241,418.74684,5706.70886,None,None,None,None,None,None,None,-10921639,268.39241,262,112,527,21203,99.71760,1.26547,0.07262,0.36445
ID592,592,0,-1,5.20897,4.24912,2.50000,153.80570,5,0.39269,1,253.08861,452.44304,5643.54430,None,None,None,None,None,None,None,-10921639,253.08861,239,79,566,19994,108.48410,1.19734,0.09415,0.40150
ID586,586,0,-1,5.24409,4.24912,2.50000,184.56684,6,0.39269,1,253.64557,455.27848,5456.53165,None,None,None,None,None,None,None,-10921639,253.64557,241,89,610,20038,106.91958,1.43567,0.07281,0.32199
ID580,580,0,-1,5.25579,4.26082,2.50000,215.32799,7,0.39269,1,255.29114,431.69620,5653.18987,None,None,None,None,None,None,None,-10921639,255.29114,239,98,520,20168,101.44054,1.23276,0.08793,0.40681
ID574,574,0,-1,5.26750,4.24912,2.50000,246.08913,8,0.39269,1,261.43038,462.20253,5563.34177,None,None,None,None,None,None,None,-10921639,261.43038,256,85,529,20653,109.39375,1.24877,0.11899,0.50824
ID568,568,0,-1,5.26750,4.28423,2.50000,276.85027,9,0.39269,1,280.48101,533.60759,6964.41772,None,None,None,None,None,None,None,-10921639,280.48101,267,132,564,22158,98.54361,1.26408,0.14423,0.71755
ID562,562,0,-1,5.26750,4.19059,2.50000,307.61141,10,0.39269,1,253.73418,490.50633,5986.00000,None,None,None,None,None,None,None,-10921639,253.73418,232,85,540,20045,96.82190,1.40822,0.11520,0.54144
ID556,556,0,-1,5.24409,4.19059,2.50000,338.37255,11,0.39269,1,249.78481,510.64557,5635.08861,None,None,None,None,None,None,None,-10921639,249.78481,232,88,515,19733,105.65372,1.43790,0.11281,0.47934
ID550,550,0,-1,5.24409,4.22571,2.50000,369.13369,12,0.39269,1,258.05063,485.55696,5399.74684,None,None,None,None,None,None,None,-10921639,258.05063,233,86,544,20386,119.73624,1.43864,0.12036,0.46305
ID544,544,0,-1,5.31432,4.19059,2.50000,399.89483,13,0.39269,1,274.87342,489.64557,5698.60759,None,None,None,None,None,None,None,-10921639,274.87342,278,101,604,21715,103.75555,1.24063,0.12996,0.60939
ID538,538,0,-1,5.25579,4.20229,2.50000,430.65597,14,0.39269,1,270.03797,521.78481,5480.40506,None,None,None,None,None,None,None,-10921639,270.03797,266,82,494,21333,114.21936,1.43401,0.14080,0.58359
ID532,532,0,-1,5.24409,4.19059,2.50000,461.41711,15,0.39269,1,252.93671,504.63291,5182.00000,None,None,None,None,None,None,None,-10921639,252.93671,234,82,604,19982,114.54798,1.49223,0.10542,0.42118
ID526,526,0,-1,5.26750,4.16718,2.50000,492.17825,16,0.39269,1,232.86076,487.88608,5223.25316,None,None,None,None,None,None,None,-10921639,232.86076,231,71,492,18396,101.94150,1.25102,0.10904,0.44917
ID520,520,0,-1,5.29091,4.20229,2.50000,522.93939,17,0.39269,1,254.50633,499.94937,5236.86076,None,None,None,None,None,None,None,-10921639,254.50633,225,73,569,20106,114.89637,1.22961,0.14803,0.57125
ID514,514,0,-1,5.25579,4.17888,2.50000,553.70053,18,0.39269,1,247.70886,504.91139,5080.41772,None,None,None,None,None,None,None,-10921639,247.70886,219,26,640,19569,127.77426,1.20521,0.13878,0.47252
ID508,508,0,-1,5.24409,4.20229,2.50000,584.46168,19,0.39269,1,224.32911,535.78481,5153.88608,None,None,None,None,None,None,None,-10921639,224.32911,207,46,525,17722,113.81358,1.43961,0.10948,0.38900
ID502,502,0,-1,5.25579,4.16718,2.50000,615.22282,20,0.39269,1,242.63291,553.74684,4779.32911,None,None,None,None,None,None,None,-10921639,242.63291,228,44,583,19168,129.21143,1.26607,0.15430,0.50202
ID496,496,0,-1,5.26750,4.20229,2.50000,645.98396,21,0.39269,1,229.68354,518.20253,4846.26582,None,None,None,None,None,None,None,-10921639,229.68354,198,9,563,18145,132.68611,1.49223,0.12146,0.37497
ID490,490,0,-1,5.24409,4.23741,2.50000,676.74510,22,0.39269,1,213.88608,507.97468,4516.21519,None,None,None,None,None,None,None,-10921639,213.88608,196,44,559,16897,124.37763,1.22404,0.09601,0.30127
ID484,484,0,-1,5.24409,4.22571,2.50000,707.50624,23,0.39269,1,218.06329,509.56962,4463.45570,None,None,None,None,None,None,None,-10921639,218.06329,187,51,519,17227,114.16142,1.49223,0.11546,0.39543
ID478,478,0,-1,5.25579,4.22571,2.50000,738.26738,24,0.39269,1,208.50633,506.32911,4315.39241,None,None,None,None,None,None,None,-10921639,208.50633,199,55,503,16472,102.12924,1.41355,0.09938,0.36912
ID472,472,0,-1,5.20897,4.22571,2.50000,769.02852,25,0.39269,1,221.03797,501.30380,4229.34177,None,None,None,None,None,None,None,-10921639,221.03797,193,20,568,17462,124.46969,1.24289,0.13625,0.42590
ID466,466,0,-1,5.23238,4.27253,2.50000,799.78966,26,0.39269,1,209.69620,483.84810,3964.63291,None,None,None,None,None,None,None,-10921639,209.69620,179,9,487,16566,119.10471,1.24259,0.10096,0.32290
ID460,460,0,-1,5.23238,4.28423,2.50000,830.55080,27,0.39269,1,221.37975,539.46835,4964.05063,None,None,None,None,None,None,None,-10921639,221.37975,208,37,496,17489,118.67228,1.25732,0.13995,0.45806
ID454,454,0,-1,5.25579,4.28423,2.50000,861.31194,28,0.39269,1,230.15190,533.91139,4791.29114,None,None,None,None,None,None,None,-10921639,230.15190,210,32,536,18182,124.01800,1.24248,0.15780,0.50587
ID440,440,0,-1,5.24409,4.29594,2.50000,892.07308,29,0.39269,1,234.50633,541.26582,4677.39241,None,None,None,None,None,None,None,-10921639,234.50633,217,45,549,18526,128.37694,1.10981,0.15064,0.47830
ID434,434,0,-1,5.23238,4.31935,2.50000,922.83422,30,0.39269,1,230.67089,529.55696,4658.49367,None,None,None,None,None,None,None,-10921639,230.67089,215,24,526,18223,116.93936,1.26538,0.13148,0.45842
ID428,428,0,-1,5.19727,4.24912,2.50000,953.59537,31,0.39269,1,201.75949,431.41772,3861.24051,None,None,None,None,None,None,None,-10921639,201.75949,174,7,544,15939,111.01400,1.41918,0.09317,0.30980
ID422,422,0,-1,5.22068,4.26082,2.50000,984.35651,32,0.39269,1,207.20253,422.29114,3624.43038,None,None,None,None,None,None,None,-10921639,207.20253,177,45,469,16369,106.71702,1.42328,0.09029,0.32159
ID416,416,0,-1,5.25579,4.30764,2.50000,1015.11765,33,0.39269,1,256.07595,517.97468,4617.82278,None,None,None,None,None,None,None,-10921639,256.07595,238,23,588,20230,128.12392,1.10149,0.17644,0.59952
ID410,410,0,-1,5.19727,4.33106,2.50000,1045.87879,34,0.39269,1,236.12658,509.68354,4261.39241,None,None,None,None,None,None,None,-10921639,236.12658,217,7,583,18654,124.74562,1.25124,0.14061,0.46669
