Label,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MEAN_INTENSITY01,MEAN_INTENSITY02,MEAN_INTENSITY03,MEAN_INTENSITY04,MEAN_INTENSITY05,MEAN_INTENSITY06,MEAN_INTENSITY07,MEAN_INTENSITY08,MEAN_INTENSITY09,MEAN_INTENSITY10,MANUAL_COLOR,MEAN_INTENSITY,MEDIAN_INTENSITY,MIN_INTENSITY,MAX_INTENSITY,TOTAL_INTENSITY,STANDARD_DEVIATION,ESTIMATED_DIAMETER,CONTRAST,SNR
ID1121,1121,0,-1,4.70563,9.99655,5.50000,0.00000,0,0.39269,1,213.24051,296.39241,6719.51899,None,None,None,None,None,None,None,-10921639,202.08861,188,4,487,15965,106.47742,1.10352,0.17314,0.56021
ID1682,1682,2,-1,8.33436,7.25745,7.50000,0.00000,0,0.39269,1,129.07595,123.21519,3081.43038,None,None,None,None,None,None,None,-10921639,129.07595,131,5,335,10197,64.87676,1.20275,0.08335,0.30613
ID1118,1118,0,-1,4.68222,9.97313,5.50000,30.76114,1,0.39269,1,221.15190,294.63291,7050.51899,None,None,None,None,None,None,None,-10921639,221.15190,209,54,475,17471,95.23764,1.09764,0.18292,0.71814
ID1679,1679,2,-1,8.31095,7.23404,7.50000,30.76114,1,0.39269,1,142.69620,132.10127,3263.72152,None,None,None,None,None,None,None,-10921639,142.69620,134,27,293,11273,67.58667,1.36464,0.08844,0.34309
ID1676,1676,2,-1,8.35777,7.25745,7.50000,61.52228,2,0.39269,1,141.48101,137.81013,3427.01266,None,None,None,None,None,None,None,-10921639,141.48101,132,49,293,11177,51.21445,1.26438,0.07136,0.36802
ID1115,1115,0,-1,4.75246,9.97313,5.50000,61.52228,2,0.39269,1,246.84810,305.39241,7553.27848,None,None,None,None,None,None,None,-10921639,246.84810,239,68,494,19501,97.38584,1.09574,0.19941,0.84283
ID1112,1112,0,-1,4.75246,10.09019,5.50000,92.28342,3,0.39269,1,227.20253,302.62025,6945.58228,None,None,None,None,None,None,None,-10921639,227.20253,226,103,446,17949,78.32958,1.09583,0.16347,0.81510
ID1673,1673,2,-1,8.38118,7.28086,7.50000,92.28342,3,0.39269,1,134.74684,126.53165,3071.02532,None,None,None,None,None,None,None,-10921639,134.74684,131,23,267,10645,51.42968,0.62831,0.04349,0.21837
ID1109,1109,0,-1,4.75246,10.04337,5.50000,123.04456,4,0.39269,1,271.83544,342.02532,8196.12658,None,None,None,None,None,None,None,-10921639,261.75949,249,86,420,20679,83.49040,1.10120,0.21361,1.10366
ID1670,1670,2,-1,8.42800,7.32768,7.50000,123.04456,4,0.39269,1,141.56962,131.49367,3159.63291,None,None,None,None,None,None,None,-10921639,141.56962,142,35,244,11184,45.24851,1.08952,0.05704,0.33768
