Label,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MEAN_INTENSITY01,MEAN_INTENSITY02,MEAN_INTENSITY03,MEAN_INTENSITY04,MEAN_INTENSITY05,MEAN_INTENSITY06,MEAN_INTENSITY07,MEAN_INTENSITY08,MEAN_INTENSITY09,MEAN_INTENSITY10,MANUAL_COLOR,MEAN_INTENSITY,MEDIAN_INTENSITY,MIN_INTENSITY,MAX_INTENSITY,TOTAL_INTENSITY,STANDARD_DEVIATION,ESTIMATED_DIAMETER,CONTRAST,SNR
ID1736,1736,0,-1,4.293,3.810,4.000,0.000,0,0.393,1,298.215,195.924,1032.203,None,None,None,None,None,None,None,-10921639,298.215,292,99,562,23559,99.565,1.163,0.070,0.392
ID1730,1730,0,-1,4.284,3.810,4.000,28.011,1,0.393,1,343.785,191.633,1001.266,None,None,None,None,None,None,None,-10921639,343.785,332,177,610,27159,103.530,1.112,0.115,0.686
ID1724,1724,0,-1,4.293,3.810,4.000,56.023,2,0.393,1,349.278,192.139,948.013,None,None,None,None,None,None,None,-10921639,349.278,338,156,595,27593,100.749,1.107,0.146,0.886
ID1718,1718,0,-1,4.337,3.810,4.000,84.034,3,0.393,1,363.570,175.494,1001.215,None,None,None,None,None,None,None,-10921639,363.570,335,105,719,28722,130.607,1.106,0.159,0.764
ID1712,1712,0,-1,4.381,3.793,4.000,112.045,4,0.393,1,393.620,185.962,964.152,None,None,None,None,None,None,None,-10921639,393.620,372,158,782,31096,134.128,1.103,0.184,0.912
ID1706,1706,0,-1,4.486,3.784,4.000,140.056,5,0.393,1,392.266,137.544,823.759,None,None,None,None,None,None,None,-10921639,392.266,353,169,828,30989,143.144,1.100,0.195,0.895
ID1700,1700,0,-1,4.565,3.828,4.000,168.068,6,0.393,1,393.772,109.481,705.494,None,None,None,None,None,None,None,-10921639,393.772,364,176,923,31108,167.494,1.104,0.205,0.799
ID1691,1691,0,-1,4.618,3.793,4.000,196.079,7,0.393,1,403.899,87.747,691.835,None,None,None,None,None,None,None,-10921639,403.899,371,155,800,31908,160.049,1.102,0.213,0.886
ID1685,1685,0,-1,4.627,3.749,4.000,224.090,8,0.393,1,454.570,91.797,632.114,None,None,None,None,None,None,None,-10921639,454.570,432,120,1059,35911,205.072,1.105,0.260,0.915
ID1679,1679,0,-1,4.706,3.705,3.500,252.102,9,0.393,1,327.722,80.354,565.456,None,None,None,None,None,None,None,-10921639,327.722,244,65,967,25890,222.862,1.294,0.127,0.331
ID1673,1673,0,-1,4.802,3.670,3.500,280.113,10,0.393,1,357.924,96.405,563.203,None,None,None,None,None,None,None,-10921639,357.924,286,103,967,28276,209.647,1.262,0.170,0.496
ID1667,1667,0,-1,4.767,3.529,3.500,308.124,11,0.393,1,318.544,80.506,528.354,None,None,None,None,None,None,None,-10921639,318.544,254,62,974,25165,194.398,0.628,0.079,0.239
ID1661,1661,0,-1,4.776,3.424,3.500,336.136,12,0.393,1,282.228,101.443,504.709,None,None,None,None,None,None,None,-10921639,282.228,232,66,871,22296,170.711,1.442,0.013,0.044
ID1655,1655,0,-1,4.802,3.398,3.500,364.147,13,0.393,1,275.253,87.228,508.215,None,None,None,None,None,None,None,-10921639,275.253,244,39,718,21745,146.941,1.208,-0.010,-0.038
