Label,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MEAN_INTENSITY01,MEAN_INTENSITY02,MEAN_INTENSITY03,MEAN_INTENSITY04,MEAN_INTENSITY05,MEAN_INTENSITY06,MEAN_INTENSITY07,MEAN_INTENSITY08,MEAN_INTENSITY09,MEAN_INTENSITY10,MANUAL_COLOR,MEAN_INTENSITY,MEDIAN_INTENSITY,MIN_INTENSITY,MAX_INTENSITY,TOTAL_INTENSITY,STANDARD_DEVIATION,ESTIMATED_DIAMETER,CONTRAST,SNR
ID2617,2617,0,-1,6.12786,3.38876,3,0,0,0.39269,1,167.03797,411.77215,4426.11392,None,None,None,None,None,None,None,-10921639,167.03797,159,0,451,13196,103.60965,1.11416,0.1226,0.35214
ID3035,3035,1,-1,5.09192,3.00248,2.5,0,0,0.39269,1,140.02532,265.24051,3370.8481,None,None,None,None,None,None,None,-10921639,140.02532,137,0,315,11062,75.65593,1.33176,0.09226,0.31267
ID2611,2611,0,-1,6.05763,3.38876,3,30.76114,1,0.39269,1,198.50633,471.05063,5475.68354,None,None,None,None,None,None,None,-10921639,198.50633,186,4,553,15682,105.01549,1.09908,0.17809,0.57151
ID3032,3032,1,-1,5.12703,2.96736,2.5,30.76114,1,0.39269,1,163.32911,299.72152,3677.58228,None,None,None,None,None,None,None,-10921639,163.32911,148,5,490,12903,101.16269,1.10416,0.15146,0.42474
ID3029,3029,1,-1,5.0568,2.96736,2.5,61.52228,2,0.39269,1,178.6962,273.40506,3820.55696,None,None,None,None,None,None,None,-10921639,178.6962,161,9,414,14117,94.07449,1.10163,0.13739,0.45889
ID2605,2605,0,-1,6.1103,3.38876,3,61.52228,2,0.39269,1,215.36709,405.43038,4887.1519,None,None,None,None,None,None,None,-10921639,215.36709,188,9,544,17014,129.6974,1.09659,0.17232,0.48817
ID3026,3026,1,-1,5.0568,2.93224,2.5,92.28342,3,0.39269,1,193.86076,290.81013,3798.3038,None,None,None,None,None,None,None,-10921639,193.86076,192,14,412,15315,90.00509,1.07972,0.15081,0.56453
ID2599,2599,0,-1,6.07518,3.3712,3,92.28342,3,0.39269,1,237.11392,482.4557,6048.93671,None,None,None,None,None,None,None,-10921639,237.11392,246,40,565,18732,109.8262,1.09884,0.1833,0.66887
ID2593,2593,0,-1,6.07518,3.38876,3,123.04456,4,0.39269,1,253.98734,486.83544,6256.46835,None,None,None,None,None,None,None,-10921639,253.98734,244,49,505,20065,116.52286,1.10219,0.19567,0.71341
ID3023,3023,1,-1,5.0568,2.9498,2.5,123.04456,4,0.39269,1,214.11392,296.03797,4012.16456,None,None,None,None,None,None,None,-10921639,214.11392,227,18,431,16915,112.13751,1.09696,0.16612,0.54399
