Label,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MEAN_INTENSITY01,MEAN_INTENSITY02,MEAN_INTENSITY03,MEAN_INTENSITY04,MEAN_INTENSITY05,MEAN_INTENSITY06,MEAN_INTENSITY07,MEAN_INTENSITY08,MEAN_INTENSITY09,MEAN_INTENSITY10,MANUAL_COLOR,MEAN_INTENSITY,MEDIAN_INTENSITY,MIN_INTENSITY,MAX_INTENSITY,TOTAL_INTENSITY,STANDARD_DEVIATION,ESTIMATED_DIAMETER,CONTRAST,SNR
ID352,352,0,-1,6.380,3.055,5.200,0.000,0,0.393,1,483.132,1391.248,1805.273,None,None,None,None,None,None,None,-10921639,483.132,443,37,1200,58459,284.778,0.998,0.226,0.626
ID346,346,0,-1,6.380,3.079,5.200,78.975,1,0.393,1,574.826,1131.860,1782.959,None,None,None,None,None,None,None,-10921639,574.826,551,146,1240,69554,307.128,1.001,0.229,0.698
ID340,340,0,-1,6.380,3.032,5.200,157.949,2,0.393,1,704.793,1146.727,1855.678,None,None,None,None,None,None,None,-10921639,704.793,692,151,1380,85280,335.174,1.004,0.264,0.879
ID334,334,0,-1,6.426,3.032,5.200,236.924,3,0.393,1,752.174,999.521,1559.496,None,None,None,None,None,None,None,-10921639,752.174,774,91,1598,91013,417.468,1.001,0.235,0.686
ID328,328,0,-1,6.426,3.020,5.200,315.898,4,0.393,1,807.198,924.612,1465.769,None,None,None,None,None,None,None,-10921639,807.198,827,163,1576,97671,406.916,1.003,0.225,0.730
ID322,322,0,-1,6.438,2.973,5.200,394.873,5,0.393,1,756.760,728.273,1255.917,None,None,None,None,None,None,None,-10921639,756.760,682,142,1665,91568,462.742,1.254,0.186,0.513
ID316,316,0,-1,6.438,2.926,5.200,473.847,6,0.393,1,833.331,729.281,1267.769,None,None,None,None,None,None,None,-10921639,833.331,789,147,1717,100833,466.638,1.267,0.201,0.598
ID310,310,0,-1,6.543,2.950,5.200,552.822,7,0.393,1,753.066,516.909,903.025,None,None,None,None,None,None,None,-10921639,753.066,568,161,1780,91121,498.663,1.249,0.126,0.337
ID304,304,0,-1,6.590,2.950,5.200,631.796,8,0.393,1,760.388,487.471,964.570,None,None,None,None,None,None,None,-10921639,760.388,594,131,1883,92007,513.596,1.251,0.100,0.269
ID298,298,0,-1,6.614,2.938,5.200,710.771,9,0.393,1,833.893,446.719,946.380,None,None,None,None,None,None,None,-10921639,833.893,721,167,2086,100901,524.258,1.253,0.121,0.343
ID292,292,0,-1,6.590,2.926,5.400,789.745,10,0.393,1,959.785,537.512,979.612,None,None,None,None,None,None,None,-10921639,959.785,901,220,1995,116134,510.182,1.262,0.150,0.491
ID286,286,0,-1,6.602,2.891,5.400,868.720,11,0.393,1,1026.438,470.669,945.050,None,None,None,None,None,None,None,-10921639,1026.438,986,214,2121,124199,549.541,1.258,0.156,0.505
ID280,280,0,-1,6.742,2.880,5.400,947.694,12,0.393,1,982.372,384.000,761.983,None,None,None,None,None,None,None,-10921639,982.372,825,227,2307,118867,591.727,1.255,0.127,0.374
ID274,274,0,-1,6.742,2.809,5.600,1026.669,13,0.393,1,774.926,270.149,686.860,None,None,None,None,None,None,None,-10921639,774.926,665,170,2095,93766,509.653,1.492,0.059,0.171
ID268,268,0,-1,6.766,2.844,5.600,1105.643,14,0.393,1,860.595,288.752,667.992,None,None,None,None,None,None,None,-10921639,860.595,744,163,2220,104132,541.179,1.492,0.083,0.244
ID262,262,0,-1,6.766,2.833,5.600,1184.618,15,0.393,1,926.818,300.298,681.711,None,None,None,None,None,None,None,-10921639,926.818,805,179,2243,112145,555.401,1.492,0.105,0.318
ID256,256,0,-1,6.778,2.798,5.600,1263.592,16,0.393,1,1013.678,303.884,706.397,None,None,None,None,None,None,None,-10921639,1013.678,927,233,2247,122655,582.243,1.492,0.118,0.369
ID250,250,0,-1,6.859,2.798,5.600,1342.567,17,0.393,1,898.868,246.264,665.521,None,None,None,None,None,None,None,-10921639,898.868,724,146,2265,108763,565.607,1.492,0.079,0.234
ID244,244,0,-1,6.871,2.821,5.600,1421.541,18,0.393,1,944.950,295.661,655.884,None,None,None,None,None,None,None,-10921639,944.950,845,227,2179,114339,565.584,1.492,0.083,0.255
ID238,238,0,-1,6.848,2.704,5.600,1500.516,19,0.393,1,763.479,243.488,645.719,None,None,None,None,None,None,None,-10921639,763.479,640,182,1974,92381,483.724,1.492,0.041,0.125
ID235,235,0,-1,6.871,2.669,5.600,1579.491,20,0.393,1,836.860,243.198,640.174,None,None,None,None,None,None,None,-10921639,836.860,678,198,2178,101260,547.462,1.492,0.053,0.154
ID226,226,0,-1,6.883,2.751,5.800,1658.465,21,0.393,1,1036.793,278.504,679.562,None,None,None,None,None,None,None,-10921639,1036.793,937,253,2188,125452,564.459,1.492,0.095,0.317
ID220,220,0,-1,6.906,2.704,5.600,1737.440,22,0.393,1,933.769,261.124,664.050,None,None,None,None,None,None,None,-10921639,933.769,805,213,2284,112986,539.596,1.492,0.081,0.259
ID214,214,0,-1,6.895,2.692,5.600,1816.414,23,0.393,1,941.851,251.893,675.926,None,None,None,None,None,None,None,-10921639,941.851,855,237,2039,113964,520.430,1.492,0.082,0.274
ID53,53,0,-1,6.883,2.651,5.600,1895.389,24,0.393,1,994.397,222.256,654.339,None,None,None,None,None,None,None,-10921639,994.397,891,250,2194,120322,554.341,1.492,0.093,0.306
ID60,60,0,-1,6.988,2.634,5.400,1974.363,25,0.393,1,983.793,230.537,611.339,None,None,None,None,None,None,None,-10921639,983.793,885,247,2160,119039,563.765,1.492,0.080,0.259
ID66,66,0,-1,6.953,2.616,5.400,2053.338,26,0.393,1,1222.091,258.760,611.488,None,None,None,None,None,None,None,-10921639,1222.091,1185,301,2172,147873,549.823,1.492,0.127,0.499
ID72,72,0,-1,6.953,2.669,5.600,2132.312,27,0.393,1,1078.504,233.240,604.388,None,None,None,None,None,None,None,-10921639,1078.504,1002,258,2287,130499,598.156,1.492,0.094,0.311
ID78,78,0,-1,6.918,2.657,5.600,2211.287,28,0.393,1,1086.314,258.909,643.835,None,None,None,None,None,None,None,-10921639,1086.314,994,239,2151,131444,561.839,1.492,0.099,0.347
ID84,84,0,-1,6.895,2.634,5.800,2290.261,29,0.393,1,1073.612,237.645,626.388,None,None,None,None,None,None,None,-10921639,1073.612,1028,302,2154,129907,542.666,1.492,0.097,0.351
ID90,90,0,-1,6.895,2.634,5.400,2369.236,30,0.393,1,1144.736,245.959,583.554,None,None,None,None,None,None,None,-10921639,1144.736,1066,275,2259,138513,577.802,1.492,0.115,0.409
ID96,96,0,-1,6.871,2.610,5.600,2448.210,31,0.393,1,1113.802,228.554,620.926,None,None,None,None,None,None,None,-10921639,1113.802,998,253,2293,134770,559.835,1.492,0.102,0.369
ID102,102,0,-1,6.895,2.610,5.400,2527.185,32,0.393,1,1065.620,234.488,547.752,None,None,None,None,None,None,None,-10921639,1065.620,980,279,2201,128940,549.770,1.492,0.101,0.356
ID105,105,0,-1,6.871,2.669,5.400,2606.159,33,0.393,1,1133.405,218.620,511.430,None,None,None,None,None,None,None,-10921639,1133.405,1048,244,2357,137142,576.024,1.492,0.106,0.377
ID111,111,0,-1,6.918,2.669,5.600,2685.134,34,0.393,1,1103.645,211.322,584.909,None,None,None,None,None,None,None,-10921639,1103.645,977,283,2276,133541,587.458,1.492,0.095,0.328
ID117,117,0,-1,6.871,2.669,5.600,2764.108,35,0.393,1,1050.893,214.430,568.570,None,None,None,None,None,None,None,-10921639,1050.893,965,283,2299,127158,573.466,1.492,0.080,0.271
ID123,123,0,-1,6.895,2.669,5.600,2843.083,36,0.393,1,1027.785,225.421,569.248,None,None,None,None,None,None,None,-10921639,1027.785,870,300,2364,124362,570.983,1.492,0.085,0.282
ID126,126,0,-1,6.871,2.622,5.600,2922.057,37,0.393,1,1078.314,202.008,555.463,None,None,None,None,None,None,None,-10921639,1078.314,982,314,2353,130476,554.304,1.492,0.087,0.311
ID135,135,0,-1,6.895,2.622,5.600,3001.032,38,0.393,1,1169.066,188.521,561.802,None,None,None,None,None,None,None,-10921639,1169.066,1060,311,2346,141457,586.595,1.492,0.107,0.384
ID141,141,0,-1,6.906,2.622,5.600,3080.006,39,0.393,1,1169.702,217.942,560.182,None,None,None,None,None,None,None,-10921639,1169.702,1047,355,2410,141534,594.362,1.492,0.092,0.331
ID144,144,0,-1,6.895,2.669,5.600,3158.981,40,0.393,1,1161.132,219.140,555.421,None,None,None,None,None,None,None,-10921639,1161.132,1077,344,2364,140497,567.465,1.492,0.095,0.355
ID147,147,0,-1,6.871,2.599,5.600,3237.956,41,0.393,1,1226.579,207.488,508.529,None,None,None,None,None,None,None,-10921639,1226.579,1153,318,2487,148416,602.412,1.492,0.104,0.383
ID153,153,0,-1,6.895,2.575,5.800,3316.930,42,0.393,1,914.306,182.653,520.149,None,None,None,None,None,None,None,-10921639,914.306,771,265,2356,110631,518.961,1.492,0.030,0.102
