Label,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_COLOR,MEAN_INTENSITY,MEDIAN_INTENSITY,MIN_INTENSITY,MAX_INTENSITY,TOTAL_INTENSITY,STANDARD_DEVIATION,ESTIMATED_DIAMETER,CONTRAST,SNR,MEAN_INTENSITY01,MEAN_INTENSITY02,MEAN_INTENSITY03,MEAN_INTENSITY04,MEAN_INTENSITY05,MEAN_INTENSITY06,MEAN_INTENSITY07,MEAN_INTENSITY08,MEAN_INTENSITY09,MEAN_INTENSITY10
ID289,289,0,-1,2.55181,3.3712,2,0,0,0.39269,1,-10921639,355.79747,316,57,822,28108,207.47044,1.10401,0.28346,0.7575,355.79747,165.40506,1171.01266,None,None,None,None,None,None,None
ID282,282,0,-1,2.54011,3.3712,2,28.01129,1,0.39269,1,-10921639,416.6962,348,75,1037,32919,247.30342,1.09964,0.31938,0.81574,416.6962,168.91139,1206.82278,None,None,None,None,None,None,None
ID271,271,0,-1,2.51669,3.38291,2,56.02259,2,0.39269,1,-10921639,391.96203,343,41,938,30965,203.90718,1.10475,0.28307,0.84817,391.96203,169.3038,1277.37975,None,None,None,None,None,None,None
ID268,268,0,-1,2.55181,3.38291,2,84.03388,3,0.39269,1,-10921639,396.81013,343,86,947,31348,220.43913,1.10068,0.29256,0.81487,396.81013,179.21519,1258.97468,None,None,None,None,None,None,None
ID265,265,0,-1,2.51669,3.38291,2,112.04517,4,0.39269,1,-10921639,405.26582,348,71,1055,32016,226.66363,1.09745,0.30146,0.82831,405.26582,171.89873,1330.24051,None,None,None,None,None,None,None
ID262,262,0,-1,2.55181,3.39461,2,140.05647,5,0.39269,1,-10921639,433.59494,352,98,1088,34254,257.49815,1.0999,0.31057,0.79806,433.59494,183.41772,1292.05063,None,None,None,None,None,None,None
ID256,256,0,-1,2.51669,3.39461,2,168.06776,6,0.39269,1,-10921639,407.4557,378,106,984,32189,212.67417,1.10177,0.30266,0.89028,407.4557,175.49367,1407.88608,None,None,None,None,None,None,None
ID250,250,0,-1,2.51669,3.3712,2,196.07905,7,0.39269,1,-10921639,441.65823,348,95,1234,34891,256.56033,1.10143,0.32547,0.84541,441.65823,182.83544,1403.79747,None,None,None,None,None,None,None
ID244,244,0,-1,2.50499,3.39461,2,224.09035,8,0.39269,1,-10921639,455.22785,382,86,1022,35963,252.39412,1.10393,0.32831,0.89159,455.22785,169.24051,1425.1519,None,None,None,None,None,None,None
ID237,237,0,-1,2.5284,3.38291,2,252.10164,9,0.39269,1,-10921639,485.93671,407,109,1186,38389,267.52471,1.10122,0.35432,0.95042,485.93671,178.63291,1440.31646,None,None,None,None,None,None,None
ID231,231,0,-1,2.51669,3.40632,2,280.11293,10,0.39269,1,-10921639,506.6962,431,130,1289,40029,276.52405,1.1052,0.36873,0.98727,506.6962,171.59494,1391.60759,None,None,None,None,None,None,None
ID224,224,0,-1,2.50499,3.40632,2,308.12423,11,0.39269,1,-10921639,490.96203,441,81,1198,38786,269.6177,1.10552,0.34626,0.9367,490.96203,174.27848,1423.74684,None,None,None,None,None,None,None
ID217,217,0,-1,2.49328,3.3712,2,336.13552,12,0.39269,1,-10921639,471.97468,362,110,1193,37286,271.90788,1.10459,0.32892,0.85925,471.97468,184.74684,1431.39241,None,None,None,None,None,None,None
ID211,211,0,-1,2.50499,3.39461,2,364.14681,13,0.39269,1,-10921639,524.51899,425,107,1308,41437,331.17506,1.10294,0.34062,0.80482,524.51899,175.40506,1421.87342,None,None,None,None,None,None,None
ID205,205,0,-1,2.50499,3.3712,2,392.15811,14,0.39269,1,-10921639,490.31646,402,80,1159,38735,287.74902,1.10344,0.33565,0.85642,490.31646,170.63291,1443.37975,None,None,None,None,None,None,None
ID199,199,0,-1,2.48158,3.38291,2,420.1694,15,0.39269,1,-10921639,545.11392,453,85,1264,43064,326.11792,1.10627,0.34832,0.86363,545.11392,164.6962,1431.72152,None,None,None,None,None,None,None
ID193,193,0,-1,2.48158,3.3712,2,448.18069,16,0.39269,1,-10921639,513.98734,436,47,1337,40605,296.65777,1.10548,0.32635,0.8526,513.98734,173.1519,1437.25316,None,None,None,None,None,None,None
ID187,187,0,-1,2.49328,3.35949,2,476.19199,17,0.39269,1,-10921639,489.07595,400,43,1209,38637,290.08234,1.10434,0.30502,0.78813,489.07595,161.6962,1405.68354,None,None,None,None,None,None,None
ID181,181,0,-1,2.50499,3.38291,2,504.20328,18,0.39269,1,-10921639,493.25316,363,54,1452,38967,338.23939,0.62831,0.30282,0.67792,493.25316,152.93671,1456.50633,None,None,None,None,None,None,None
ID175,175,0,-1,2.49328,3.38291,2,532.21457,19,0.39269,1,-10921639,455.50633,379,93,1304,35985,276.1661,1.26487,0.26796,0.69713,455.50633,164.08861,1503.77215,None,None,None,None,None,None,None
ID169,169,0,-1,2.44646,3.38291,2,560.22587,20,0.39269,1,-10921639,526.40506,429,91,1346,41586,320.99483,1.11396,0.30816,0.77263,526.40506,171.81013,1466.67089,None,None,None,None,None,None,None
ID163,163,0,-1,2.49328,3.3712,2,588.23716,21,0.39269,1,-10921639,467.50633,372,79,1174,36933,277.2068,1.10404,0.26434,0.70521,467.50633,161.07595,1515.08861,None,None,None,None,None,None,None
ID157,157,0,-1,2.50499,3.38291,2,616.24846,22,0.39269,1,-10921639,490.77215,399,119,1330,38771,305.42635,1.25965,0.25963,0.66238,490.77215,156.97468,1509.72152,None,None,None,None,None,None,None
ID151,151,0,-1,2.51669,3.41802,2,644.25975,23,0.39269,1,-10921639,527.3038,430,122,1461,41657,331.40259,1.27067,0.28923,0.71392,527.3038,158.89873,1516.3038,None,None,None,None,None,None,None
ID145,145,0,-1,2.51669,3.41802,2,672.27104,24,0.39269,1,-10921639,485.32911,372,124,1175,38341,286.05261,1.2639,0.24077,0.65847,485.32911,163.70886,1506.60759,None,None,None,None,None,None,None
ID139,139,0,-1,2.50499,3.40632,2,700.28234,25,0.39269,1,-10921639,504.77215,403,126,1357,39877,308.65166,1.26522,0.24017,0.63343,504.77215,142.3038,1559.3038,None,None,None,None,None,None,None
ID133,133,0,-1,2.5284,3.42973,2,728.29363,26,0.39269,1,-10921639,490.36709,381,163,1256,38739,273.02875,1.26384,0.25416,0.72794,490.36709,163.98734,1496.83544,None,None,None,None,None,None,None
ID127,127,0,-1,2.54011,3.46484,2,756.30492,27,0.39269,1,-10921639,571.8481,474,137,1434,45176,302.9414,0.62831,0.33975,0.95739,571.8481,140.72152,1190.91139,None,None,None,None,None,None,None
ID121,121,0,-1,2.5284,3.45314,2,784.31622,28,0.39269,1,-10921639,564.22785,502,149,1211,44574,286.03384,0.62831,0.3118,0.93772,564.22785,135.53165,1189.35443,None,None,None,None,None,None,None
ID118,118,0,-1,2.5284,3.45314,2,812.32751,29,0.39269,1,-10921639,565.60759,462,145,1382,44683,321.27552,1.10414,0.32353,0.86069,565.60759,138.67089,1157.92405,None,None,None,None,None,None,None
ID112,112,0,-1,2.51669,3.51167,2,840.3388,30,0.39269,1,-10921639,556.86076,479,163,1265,43992,290.48482,0.62831,0.2966,0.87704,556.86076,132.79747,1177.05063,None,None,None,None,None,None,None
ID106,106,0,-1,2.46987,3.62872,2,868.3501,31,0.39269,1,-10921639,492.16456,396,142,1202,38881,286.6448,1.26388,0.27665,0.74414,492.16456,103.12658,817.11392,None,None,None,None,None,None,None
ID100,100,0,-1,2.43476,3.68725,2,896.36139,32,0.39269,1,-10921639,499.08861,413,130,1288,39428,286.30937,1.26098,0.26298,0.72593,499.08861,96.89873,758.74684,None,None,None,None,None,None,None
ID97,97,0,-1,2.44646,3.66384,2,924.37268,33,0.39269,1,-10921639,488.41772,417,114,1186,38585,282.18482,1.11351,0.25402,0.70122,488.41772,93.16456,763.89873,None,None,None,None,None,None,None
ID79,79,0,-1,2.38793,3.65213,2.5,952.38398,34,0.39269,1,-10921639,564.17722,471,328,1172,44570,220.96732,1.2566,0.24484,1.00437,564.17722,99.92405,882.92405,None,None,None,None,None,None,None
ID76,76,0,-1,2.39964,3.65213,2.5,980.39527,35,0.39269,1,-10921639,546.07595,471,231,1173,43140,219.33313,1.26103,0.24514,0.98035,546.07595,111.62025,868.29114,None,None,None,None,None,None,None
ID68,68,0,-1,2.36452,3.71066,2.5,1008.40656,36,0.39269,1,-10921639,513.64557,483,199,1257,40578,227.44625,1.25989,0.21143,0.78828,513.64557,90.03797,869.46835,None,None,None,None,None,None,None
ID62,62,0,-1,2.35282,3.78089,2.5,1036.41786,37,0.39269,1,-10921639,569.55696,516,226,1286,44995,233.35451,1.10655,0.29615,1.11534,569.55696,88.59494,547.31646,None,None,None,None,None,None,None
ID56,56,0,-1,2.3177,3.75748,2.5,1064.42915,38,0.39269,1,-10921639,598.4557,558,243,1254,47278,217.68478,1.11176,0.29386,1.24878,598.4557,71.67089,516.12658,None,None,None,None,None,None,None
ID50,50,0,-1,2.3177,3.82772,2.5,1092.44044,39,0.39269,1,-10921639,624.6962,558,292,1528,49351,261.28972,1.11115,0.31097,1.13422,624.6962,69.82278,502.75949,None,None,None,None,None,None,None
ID47,47,0,-1,2.24747,3.7926,2.5,1120.45174,40,0.39269,1,-10921639,546.32911,525,208,1349,43160,227.76308,1.10623,0.27516,1.03518,546.32911,63.78481,507.39241,None,None,None,None,None,None,None
ID44,44,0,-1,2.25917,3.7926,2.5,1148.46303,41,0.39269,1,-10921639,531.98734,489,208,1133,42027,218.20277,1.26271,0.27026,1.03743,531.98734,80.89873,489.01266,None,None,None,None,None,None,None
