Label,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MEAN_INTENSITY01,MEAN_INTENSITY02,MEAN_INTENSITY03,MEAN_INTENSITY04,MEAN_INTENSITY05,MEAN_INTENSITY06,MEAN_INTENSITY07,MEAN_INTENSITY08,MEAN_INTENSITY09,MEAN_INTENSITY10,MANUAL_COLOR,MEAN_INTENSITY,MEDIAN_INTENSITY,MIN_INTENSITY,MAX_INTENSITY,TOTAL_INTENSITY,STANDARD_DEVIATION,ESTIMATED_DIAMETER,CONTRAST,SNR
ID912,912,1,-1,9.587,6.368,9.000,0.000,0,0.393,1,885.608,191.468,1480.722,None,None,None,None,None,None,None,-10921639,885.608,692,178,2045,69963,540.950,1.259,0.206,0.560
ID1193,1193,2,-1,7.866,6.122,6.000,0.000,0,0.393,1,588.582,132.544,745.544,None,None,None,None,None,None,None,-10921639,588.582,449,254,1379,46498,344.429,1.327,-0.038,-0.135
ID637,637,0,-1,8.018,5.443,7.500,0.000,0,0.393,1,1021.608,313.924,1944.139,None,None,None,None,None,None,None,-10921639,1021.608,1071,228,1626,80707,399.463,1.102,0.151,0.672
ID1190,1190,2,-1,7.913,6.099,6.000,28.011,1,0.393,1,617.608,117.620,697.456,None,None,None,None,None,None,None,-10921639,617.608,469,193,1507,48791,385.295,1.091,-0.043,-0.144
ID631,631,0,-1,8.007,5.443,7.500,28.011,1,0.393,1,1126.494,315.658,1873.418,None,None,None,None,None,None,None,-10921639,1126.494,1150,295,1784,88993,444.999,1.106,0.152,0.667
ID906,906,1,-1,9.575,6.368,9.000,28.011,1,0.393,1,989.127,175.519,1442.544,None,None,None,None,None,None,None,-10921639,989.127,846,222,2219,78141,597.762,1.109,0.219,0.594
ID1184,1184,2,-1,7.890,6.075,6.000,56.023,2,0.393,1,653.266,115.937,668.823,None,None,None,None,None,None,None,-10921639,653.266,461,152,1599,51608,448.783,1.093,-0.042,-0.127
ID625,625,0,-1,7.995,5.431,7.500,56.023,2,0.393,1,1167.785,297.038,1933.557,None,None,None,None,None,None,None,-10921639,1167.785,1246,237,1967,92255,455.726,1.103,0.150,0.667
ID900,900,1,-1,9.575,6.461,9.000,56.023,2,0.393,1,984.937,169.177,1388.127,None,None,None,None,None,None,None,-10921639,984.937,792,232,2376,77810,614.060,1.106,0.210,0.557
ID1178,1178,2,-1,7.925,6.040,6.000,84.034,3,0.393,1,718.633,124.975,707.608,None,None,None,None,None,None,None,-10921639,718.633,464,216,1702,56772,495.070,1.094,-0.027,-0.079
ID619,619,0,-1,7.960,5.455,7.500,84.034,3,0.393,1,1211.278,321.051,1890.291,None,None,None,None,None,None,None,-10921639,1211.278,1268,350,2160,95691,457.394,1.105,0.152,0.699
ID894,894,1,-1,9.563,6.473,9.000,84.034,3,0.393,1,971.316,165.203,1357.278,None,None,None,None,None,None,None,-10921639,971.316,789,234,2370,76734,600.604,1.259,0.201,0.540
ID1172,1172,2,-1,7.843,6.099,6.000,112.045,4,0.393,1,794.468,120.241,718.329,None,None,None,None,None,None,None,-10921639,794.468,636,198,1873,62763,504.963,1.095,-0.008,-0.026
ID613,613,0,-1,7.983,5.455,7.500,112.045,4,0.393,1,1243.468,287.899,1860.354,None,None,None,None,None,None,None,-10921639,1243.468,1283,353,2020,98234,436.109,1.104,0.158,0.779
ID888,888,1,-1,9.587,6.497,9.000,112.045,4,0.393,1,1019.203,157.595,1402.506,None,None,None,None,None,None,None,-10921639,1019.203,857,212,2262,80517,600.342,1.107,0.207,0.582
ID882,882,1,-1,9.563,6.485,9.000,140.056,5,0.393,1,1031.114,168.190,1288.722,None,None,None,None,None,None,None,-10921639,1031.114,896,231,1975,81458,524.153,1.103,0.218,0.705
ID1166,1166,2,-1,7.843,6.157,6.000,140.056,5,0.393,1,924.785,139.911,828.848,None,None,None,None,None,None,None,-10921639,924.785,781,315,1906,73058,485.542,1.094,-0.006,-0.024
ID607,607,0,-1,7.913,5.455,7.500,140.056,5,0.393,1,1294.063,268.772,1551.937,None,None,None,None,None,None,None,-10921639,1294.063,1344,313,2421,102231,486.815,1.100,0.152,0.703
ID1160,1160,2,-1,7.866,6.063,6.000,168.068,6,0.393,1,947.203,128.684,750.848,None,None,None,None,None,None,None,-10921639,947.203,863,290,1953,74829,500.844,1.323,0.012,0.045
ID601,601,0,-1,7.971,5.420,7.500,168.068,6,0.393,1,1273.734,285.759,1796.823,None,None,None,None,None,None,None,-10921639,1273.734,1327,387,2117,100625,415.903,1.103,0.147,0.784
ID876,876,1,-1,9.587,6.426,9.000,168.068,6,0.393,1,1011.949,166.709,1413.696,None,None,None,None,None,None,None,-10921639,1011.949,903,255,2187,79944,509.468,1.107,0.206,0.678
ID1154,1154,2,-1,7.843,6.040,6.000,196.079,7,0.393,1,1037.557,143.114,785.000,None,None,None,None,None,None,None,-10921639,1037.557,993,218,2074,81967,534.798,1.098,0.038,0.143
ID595,595,0,-1,7.890,5.396,7.500,196.079,7,0.393,1,1134.848,229.873,1207.089,None,None,None,None,None,None,None,-10921639,1134.848,1208,292,2181,89653,478.279,1.267,0.120,0.508
ID870,870,1,-1,9.517,6.403,9.000,196.079,7,0.393,1,1038.392,172.797,1308.646,None,None,None,None,None,None,None,-10921639,1038.392,953,229,2149,82033,552.246,1.101,0.213,0.659
ID864,864,1,-1,9.575,6.380,9.000,224.090,8,0.393,1,1050.506,166.949,1248.038,None,None,None,None,None,None,None,-10921639,1050.506,942,257,2047,82990,520.003,1.106,0.224,0.739
ID1148,1148,2,-1,7.737,6.063,6.000,224.090,8,0.393,1,1177.987,121.342,647.785,None,None,None,None,None,None,None,-10921639,1177.987,1203,353,2292,93061,567.086,1.270,0.062,0.244
ID589,589,0,-1,7.890,5.396,7.500,224.090,8,0.393,1,1189.684,235.367,1200.544,None,None,None,None,None,None,None,-10921639,1189.684,1221,287,2202,93985,444.715,1.259,0.126,0.597
ID1142,1142,2,-1,7.714,6.192,6.000,252.102,9,0.393,1,1288.722,127.937,737.038,None,None,None,None,None,None,None,-10921639,1288.722,1295,395,2496,101809,580.203,1.261,0.047,0.198
ID583,583,0,-1,7.796,5.349,7.500,252.102,9,0.393,1,1262.266,206.823,1202.013,None,None,None,None,None,None,None,-10921639,1262.266,1319,351,2195,99719,440.528,1.102,0.134,0.676
ID858,858,1,-1,9.482,6.344,9.500,252.102,9,0.393,1,861.544,100.734,596.646,None,None,None,None,None,None,None,-10921639,861.544,728,211,1919,68062,486.819,1.107,0.200,0.591
ID1136,1136,2,-1,7.655,6.028,6.000,280.113,10,0.393,1,1208.759,110.570,628.025,None,None,None,None,None,None,None,-10921639,1208.759,1253,280,2087,95492,538.694,1.098,0.052,0.222
ID577,577,0,-1,7.761,5.268,7.500,280.113,10,0.393,1,1309.873,191.114,1025.316,None,None,None,None,None,None,None,-10921639,1309.873,1291,352,2292,103480,423.316,1.264,0.116,0.644
ID852,852,1,-1,9.645,6.391,9.000,280.113,10,0.393,1,690.519,116.443,816.253,None,None,None,None,None,None,None,-10921639,690.519,571,114,2042,54551,486.840,1.267,0.081,0.213
ID1130,1130,2,-1,7.655,5.982,6.000,308.124,11,0.393,1,1206.215,109.506,582.329,None,None,None,None,None,None,None,-10921639,1206.215,1200,406,2259,95291,576.581,1.105,0.048,0.192
ID571,571,0,-1,7.609,5.244,7.500,308.124,11,0.393,1,1103.468,102.380,572.405,None,None,None,None,None,None,None,-10921639,1103.468,1072,237,2253,87174,497.027,1.256,0.078,0.321
