Label,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_COLOR,MEAN_INTENSITY,MEDIAN_INTENSITY,MIN_INTENSITY,MAX_INTENSITY,TOTAL_INTENSITY,STANDARD_DEVIATION,ESTIMATED_DIAMETER,CONTRAST,SNR,MEAN_INTENSITY01,MEAN_INTENSITY02,MEAN_INTENSITY03,MEAN_INTENSITY04,MEAN_INTENSITY05,MEAN_INTENSITY06,MEAN_INTENSITY07,MEAN_INTENSITY08,MEAN_INTENSITY09,MEAN_INTENSITY10
ID281,281,0,-1,2.224,2.037,2.500,0.000,0,0.393,1,-10921639,152.633,155,0,520,12058,96.913,1.340,0.046,0.138,152.633,166.595,619.962,None,None,None,None,None,None,None
ID275,275,0,-1,2.154,1.967,2.500,28.011,1,0.393,1,-10921639,156.620,143,4,453,12373,94.184,1.439,0.052,0.163,156.620,122.797,397.418,None,None,None,None,None,None,None
ID269,269,0,-1,2.060,2.107,2.500,56.023,2,0.393,1,-10921639,185.532,159,0,547,14657,122.445,1.492,0.098,0.272,185.532,125.089,523.722,None,None,None,None,None,None,None
ID263,263,0,-1,2.142,2.119,2.500,84.034,3,0.393,1,-10921639,192.722,168,3,442,15225,116.114,1.121,0.114,0.339,192.722,138.051,513.316,None,None,None,None,None,None,None
ID257,257,0,-1,2.177,2.095,2.500,112.045,4,0.393,1,-10921639,203.582,191,0,459,16083,103.736,1.492,0.130,0.453,203.582,138.620,613.203,None,None,None,None,None,None,None
ID251,251,0,-1,2.154,2.084,2.500,140.056,5,0.393,1,-10921639,204.114,214,0,561,16125,120.252,1.161,0.144,0.426,204.114,125.772,481.038,None,None,None,None,None,None,None
ID245,245,0,-1,2.142,2.037,2.500,168.068,6,0.393,1,-10921639,203.823,201,18,463,16102,113.519,1.336,0.090,0.295,203.823,109.152,495.582,None,None,None,None,None,None,None
ID239,239,0,-1,2.142,2.002,2.500,196.079,7,0.393,1,-10921639,171.987,143,0,464,13587,115.632,1.235,0.059,0.166,171.987,107.278,374.747,None,None,None,None,None,None,None
ID233,233,0,-1,2.154,2.013,2.500,224.090,8,0.393,1,-10921639,160.291,147,0,393,12663,86.156,1.397,0.044,0.155,160.291,105.114,372.494,None,None,None,None,None,None,None
ID227,227,0,-1,2.201,2.037,2.500,252.102,9,0.393,1,-10921639,203.544,194,2,490,16080,112.764,1.334,0.090,0.300,203.544,125.127,595.025,None,None,None,None,None,None,None
ID221,221,0,-1,2.189,2.037,2.500,280.113,10,0.393,1,-10921639,216.759,220,0,561,17124,112.444,1.273,0.135,0.458,216.759,120.481,567.456,None,None,None,None,None,None,None
ID215,215,0,-1,2.212,2.072,2.500,308.124,11,0.393,1,-10921639,239.456,221,34,618,18917,120.025,1.343,0.150,0.521,239.456,138.456,573.152,None,None,None,None,None,None,None
ID209,209,0,-1,2.142,2.037,2.500,336.136,12,0.393,1,-10921639,222.266,218,11,499,17559,122.194,1.492,0.119,0.388,222.266,126.570,452.633,None,None,None,None,None,None,None
ID203,203,0,-1,2.154,1.978,2.500,364.147,13,0.393,1,-10921639,187.101,178,0,524,14781,108.921,1.492,0.066,0.211,187.101,110.772,369.253,None,None,None,None,None,None,None
ID197,197,0,-1,2.084,1.873,2.500,392.158,14,0.393,1,-10921639,157.190,142,18,471,12418,95.763,1.345,0.019,0.063,157.190,109.557,267.013,None,None,None,None,None,None,None
ID191,191,0,-1,2.060,1.943,2.500,420.169,15,0.393,1,-10921639,182.165,179,0,432,14391,100.501,1.374,0.058,0.200,182.165,98.481,377.823,None,None,None,None,None,None,None
ID185,185,0,-1,1.990,1.967,2.500,448.181,16,0.393,1,-10921639,188.025,174,0,477,14854,107.901,0.628,0.056,0.186,188.025,87.696,283.392,None,None,None,None,None,None,None
ID179,179,0,-1,2.002,2.013,2.500,476.192,17,0.393,1,-10921639,194.177,176,0,614,15340,109.232,1.184,0.077,0.254,194.177,85.759,280.468,None,None,None,None,None,None,None
ID173,173,0,-1,1.978,2.025,2.500,504.203,18,0.393,1,-10921639,181.582,163,0,466,14345,99.128,1.399,0.029,0.104,181.582,82.342,293.987,None,None,None,None,None,None,None
ID167,167,0,-1,1.920,2.048,2.500,532.215,19,0.393,1,-10921639,249.089,209,5,700,19678,171.208,1.351,0.121,0.315,249.089,90.456,417.329,None,None,None,None,None,None,None
ID161,161,0,-1,1.990,2.084,2.500,560.226,20,0.393,1,-10921639,256.810,225,0,704,20288,162.432,1.144,0.142,0.393,256.810,80.506,389.557,None,None,None,None,None,None,None
ID155,155,0,-1,1.955,2.025,2.500,588.237,21,0.393,1,-10921639,202.620,165,0,586,16007,141.034,1.492,0.053,0.145,202.620,86.430,301.418,None,None,None,None,None,None,None
ID149,149,0,-1,1.908,2.048,2.500,616.248,22,0.393,1,-10921639,266.456,233,40,704,21050,142.747,1.492,0.127,0.422,266.456,88.139,403.962,None,None,None,None,None,None,None
ID143,143,0,-1,1.920,1.990,2.500,644.260,23,0.393,1,-10921639,234.405,195,0,574,18518,144.520,1.327,0.110,0.321,234.405,84.861,310.152,None,None,None,None,None,None,None
ID137,137,0,-1,1.861,1.990,2.500,672.271,24,0.393,1,-10921639,179.949,157,0,602,14216,129.014,1.492,0.029,0.077,179.949,71.051,239.722,None,None,None,None,None,None,None
ID131,131,0,-1,1.779,2.037,2.500,700.282,25,0.393,1,-10921639,240.519,205,0,584,19001,153.983,1.107,0.104,0.294,240.519,85.646,288.481,None,None,None,None,None,None,None
ID125,125,0,-1,1.779,1.990,2.500,728.294,26,0.393,1,-10921639,210.557,168,0,654,16634,140.954,1.492,0.086,0.237,210.557,83.177,235.076,None,None,None,None,None,None,None
ID119,119,0,-1,1.768,1.978,2.500,756.305,27,0.393,1,-10921639,183.013,157,0,578,14458,126.945,1.261,0.011,0.030,183.013,76.873,243.253,None,None,None,None,None,None,None
ID113,113,0,-1,1.803,2.025,2.500,784.316,28,0.393,1,-10921639,214.696,153,0,630,16961,158.228,1.492,0.085,0.213,214.696,72.886,229.101,None,None,None,None,None,None,None
ID107,107,0,-1,1.779,2.013,2.500,812.328,29,0.393,1,-10921639,205.038,150,0,840,16198,178.287,1.233,0.057,0.124,205.038,76.165,221.658,None,None,None,None,None,None,None
ID101,101,0,-1,1.744,2.048,2.500,840.339,30,0.393,1,-10921639,211.266,149,0,713,16690,162.393,1.492,0.049,0.121,211.266,77.671,211.633,None,None,None,None,None,None,None
ID95,95,0,-1,1.768,2.037,2.500,868.350,31,0.393,1,-10921639,279.278,243,0,708,22063,185.847,1.101,0.170,0.436,279.278,83.506,277.165,None,None,None,None,None,None,None
ID89,89,0,-1,1.803,2.037,2.500,896.361,32,0.393,1,-10921639,282.089,229,27,898,22285,201.820,1.112,0.119,0.297,282.089,79.354,280.418,None,None,None,None,None,None,None
ID80,80,0,-1,1.791,2.107,2.500,924.373,33,0.393,1,-10921639,259.759,227,9,796,20521,163.879,1.492,0.098,0.282,259.759,72.101,274.025,None,None,None,None,None,None,None
ID73,73,0,-1,1.709,2.095,2.500,952.384,34,0.393,1,-10921639,220.481,183,0,678,17418,160.763,1.253,0.058,0.150,220.481,71.380,206.671,None,None,None,None,None,None,None
ID67,67,0,-1,1.709,2.048,2.500,980.395,35,0.393,1,-10921639,234.177,203,0,835,18500,178.163,1.286,0.092,0.221,234.177,70.025,208.835,None,None,None,None,None,None,None
ID61,61,0,-1,1.732,2.072,2.500,1008.407,36,0.393,1,-10921639,228.772,198,0,704,18073,172.527,1.116,0.075,0.184,228.772,71.937,208.380,None,None,None,None,None,None,None
ID55,55,0,-1,1.650,2.072,2.500,1036.418,37,0.393,1,-10921639,226.418,188,0,792,17887,169.945,1.226,0.077,0.190,226.418,67.418,211.430,None,None,None,None,None,None,None
ID49,49,0,-1,1.674,2.107,2.500,1064.429,38,0.393,1,-10921639,227.949,166,21,685,18008,171.430,1.492,0.092,0.224,227.949,79.873,214.025,None,None,None,None,None,None,None
ID43,43,0,-1,1.709,2.095,2.500,1092.440,39,0.393,1,-10921639,254.810,192,0,903,20130,197.335,0.628,0.109,0.254,254.810,66.316,209.595,None,None,None,None,None,None,None
