Label,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MEAN_INTENSITY01,MEAN_INTENSITY02,MEAN_INTENSITY03,MEAN_INTENSITY04,MEAN_INTENSITY05,MEAN_INTENSITY06,MEAN_INTENSITY07,MEAN_INTENSITY08,MEAN_INTENSITY09,MEAN_INTENSITY10,MANUAL_COLOR,MEAN_INTENSITY,MEDIAN_INTENSITY,MIN_INTENSITY,MAX_INTENSITY,TOTAL_INTENSITY,STANDARD_DEVIATION,ESTIMATED_DIAMETER,CONTRAST,SNR
ID2291,2291,1,-1,4.589,5.642,8.000,0.000,0,0.393,1,3986.354,492.354,4047.266,None,None,None,None,None,None,None,-10921639,3986.354,3900,2042,6084,314922,980.814,1.104,0.264,1.699
ID2563,2563,2,-1,6.614,5.502,7.500,0.000,0,0.393,1,3414.797,317.354,2324.899,None,None,None,None,None,None,None,-10921639,3414.797,2958,669,6833,269769,1791.210,1.110,0.189,0.605
ID2763,2763,3,-1,5.279,5.291,7.000,0.000,0,0.393,1,4519.595,633.646,5015.633,None,None,None,None,None,None,None,-10921639,4519.595,4501,1931,6934,357048,1214.508,1.241,0.140,0.912
ID2013,2013,0,-1,4.460,4.155,8.000,0.000,0,0.393,1,925.278,200.797,970.443,None,None,None,None,None,None,None,-10921639,925.278,880,208,1846,73097,323.102,1.126,0.081,0.431
ID2757,2757,3,-1,5.303,5.303,7.000,28.011,1,0.393,1,4728.165,630.203,4820.899,None,None,None,None,None,None,None,-10921639,4728.165,4681,2432,7088,373525,1083.766,1.251,0.148,1.122
ID2007,2007,0,-1,4.460,4.167,8.000,28.011,1,0.393,1,893.468,181.823,979.924,None,None,None,None,None,None,None,-10921639,893.468,948,323,1561,70584,301.794,1.113,0.078,0.427
ID2285,2285,1,-1,4.635,5.712,8.000,28.011,1,0.393,1,3967.114,402.456,3766.506,None,None,None,None,None,None,None,-10921639,3967.114,4028,1629,5996,313402,1110.352,1.104,0.260,1.473
ID2557,2557,2,-1,6.637,5.548,7.500,28.011,1,0.393,1,3512.291,316.354,2324.038,None,None,None,None,None,None,None,-10921639,3512.291,3192,783,7019,277471,1722.552,1.110,0.187,0.642
ID2001,2001,0,-1,4.483,4.179,8.000,56.023,2,0.393,1,929.747,195.582,1090.316,None,None,None,None,None,None,None,-10921639,929.747,956,322,1713,73450,262.266,1.110,0.080,0.523
ID2754,2754,3,-1,5.385,5.291,6.500,56.023,2,0.393,1,4506.949,426.785,3183.975,None,None,None,None,None,None,None,-10921639,4506.949,4580,1690,6808,356049,1356.423,1.261,0.152,0.877
ID2279,2279,1,-1,4.624,5.665,8.000,56.023,2,0.393,1,4096.165,495.722,4403.658,None,None,None,None,None,None,None,-10921639,4096.165,4118,2097,5820,323597,948.665,1.104,0.251,1.735
ID2551,2551,2,-1,6.579,5.525,7.500,56.023,2,0.393,1,3796.380,284.658,1944.861,None,None,None,None,None,None,None,-10921639,3796.380,3499,916,7051,299914,1802.097,1.112,0.196,0.690
ID2273,2273,1,-1,4.530,5.654,8.000,84.034,3,0.393,1,3958.253,377.658,3522.722,None,None,None,None,None,None,None,-10921639,3958.253,3916,1655,5937,312702,1063.373,1.106,0.256,1.518
ID2545,2545,2,-1,6.497,5.537,7.500,84.034,3,0.393,1,4383.114,332.797,2339.000,None,None,None,None,None,None,None,-10921639,4383.114,4546,1474,7347,346266,1633.759,1.109,0.214,0.944
ID1995,1995,0,-1,4.401,4.144,8.000,84.034,3,0.393,1,909.494,182.532,946.835,None,None,None,None,None,None,None,-10921639,909.494,924,335,1704,71850,303.342,1.118,0.082,0.456
ID2751,2751,3,-1,5.268,5.303,6.500,84.034,3,0.393,1,4690.177,437.063,3239.658,None,None,None,None,None,None,None,-10921639,4690.177,4829,1794,7084,370524,1288.897,1.257,0.153,0.967
ID1989,1989,0,-1,4.378,4.144,8.000,112.045,4,0.393,1,960.190,186.405,985.975,None,None,None,None,None,None,None,-10921639,960.190,957,417,1619,75855,271.417,1.112,0.084,0.549
ID2267,2267,1,-1,4.530,5.630,8.000,112.045,4,0.393,1,4161.038,398.570,3485.734,None,None,None,None,None,None,None,-10921639,4161.038,4089,2083,5981,328722,949.631,1.105,0.257,1.794
ID2539,2539,2,-1,6.520,5.525,7.500,112.045,4,0.393,1,4267.696,315.367,2165.418,None,None,None,None,None,None,None,-10921639,4267.696,4124,1346,7310,337148,1684.759,1.112,0.205,0.863
ID2748,2748,3,-1,5.256,5.303,6.500,112.045,4,0.393,1,4348.646,399.810,2932.987,None,None,None,None,None,None,None,-10921639,4348.646,4486,1540,6765,343543,1368.134,1.260,0.138,0.773
ID2261,2261,1,-1,4.530,5.665,8.000,140.056,5,0.393,1,4220.367,436.456,3738.316,None,None,None,None,None,None,None,-10921639,4220.367,4172,2276,5923,333409,894.928,1.105,0.252,1.898
ID2533,2533,2,-1,6.520,5.537,7.500,140.056,5,0.393,1,4037.532,275.089,2009.949,None,None,None,None,None,None,None,-10921639,4037.532,3938,1304,7135,318965,1618.145,1.112,0.188,0.790
ID2745,2745,3,-1,5.244,5.291,6.500,140.056,5,0.393,1,4347.937,422.886,3119.911,None,None,None,None,None,None,None,-10921639,4347.937,4469,1712,6862,343487,1343.950,1.258,0.132,0.756
ID1983,1983,0,-1,4.331,4.085,8.000,140.056,5,0.393,1,914.000,184.975,961.139,None,None,None,None,None,None,None,-10921639,914.000,925,361,1569,72206,260.700,1.109,0.113,0.713
ID2742,2742,3,-1,5.244,5.279,6.500,168.068,6,0.393,1,4484.532,421.873,3168.544,None,None,None,None,None,None,None,-10921639,4484.532,4526,1903,6826,354278,1303.506,1.259,0.135,0.818
ID1977,1977,0,-1,4.284,4.074,8.000,168.068,6,0.393,1,923.962,176.987,996.557,None,None,None,None,None,None,None,-10921639,923.962,918,401,1552,72993,235.161,1.109,0.102,0.730
ID2255,2255,1,-1,4.495,5.712,8.000,168.068,6,0.393,1,4053.367,404.696,3669.962,None,None,None,None,None,None,None,-10921639,4053.367,4181,1840,6010,320216,1057.516,1.105,0.233,1.448
ID2527,2527,2,-1,6.497,5.525,7.500,168.068,6,0.393,1,4134.608,268.456,1884.620,None,None,None,None,None,None,None,-10921639,4134.608,4106,1224,7190,326634,1666.427,1.110,0.190,0.793
ID1971,1971,0,-1,4.191,4.144,8.000,196.079,7,0.393,1,927.962,166.456,955.696,None,None,None,None,None,None,None,-10921639,927.962,933,338,1739,73309,312.947,1.113,0.089,0.484
ID2739,2739,3,-1,5.244,5.256,6.500,196.079,7,0.393,1,4050.823,380.165,2793.532,None,None,None,None,None,None,None,-10921639,4050.823,4037,1601,6734,320015,1443.759,1.446,0.108,0.547
ID2249,2249,1,-1,4.507,5.642,8.000,196.079,7,0.393,1,4421.987,448.380,4121.342,None,None,None,None,None,None,None,-10921639,4421.987,4434,2718,6306,349337,922.430,1.105,0.257,1.961
ID2521,2521,2,-1,6.543,5.490,7.500,196.079,7,0.393,1,3291.025,195.481,1321.608,None,None,None,None,None,None,None,-10921639,3291.025,2966,814,6888,259991,1747.962,1.267,0.137,0.452
ID2736,2736,3,-1,5.221,5.197,6.500,224.090,8,0.393,1,4145.595,386.747,2759.722,None,None,None,None,None,None,None,-10921639,4145.595,4059,1552,6877,327502,1443.309,1.254,0.113,0.584
ID2243,2243,1,-1,4.425,5.619,8.000,224.090,8,0.393,1,4354.646,456.481,4260.835,None,None,None,None,None,None,None,-10921639,4354.646,4341,2504,5954,344017,848.765,1.105,0.238,1.972
ID2515,2515,2,-1,6.497,5.502,7.500,224.090,8,0.393,1,4237.861,249.013,1618.532,None,None,None,None,None,None,None,-10921639,4237.861,4012,1321,7507,334791,1716.918,1.111,0.185,0.771
ID1965,1965,0,-1,4.120,4.214,8.000,224.090,8,0.393,1,882.734,148.570,824.076,None,None,None,None,None,None,None,-10921639,882.734,910,213,1644,69736,350.144,1.111,0.081,0.379
ID1959,1959,0,-1,4.074,4.155,8.000,252.102,9,0.393,1,920.962,154.177,818.165,None,None,None,None,None,None,None,-10921639,920.962,892,314,1736,72756,322.642,1.112,0.087,0.457
ID2237,2237,1,-1,4.366,5.607,8.000,252.102,9,0.393,1,4231.342,356.165,3149.291,None,None,None,None,None,None,None,-10921639,4231.342,4270,2092,6090,334276,996.367,1.107,0.253,1.714
ID2509,2509,2,-1,6.508,5.490,7.500,252.102,9,0.393,1,4116.392,229.114,1693.316,None,None,None,None,None,None,None,-10921639,4116.392,3951,1330,7207,325195,1626.460,1.112,0.176,0.756
ID2733,2733,3,-1,5.197,5.221,6.500,252.102,9,0.393,1,4016.785,407.228,2810.747,None,None,None,None,None,None,None,-10921639,4016.785,4007,1683,6776,317326,1360.813,1.250,0.104,0.556
ID1953,1953,0,-1,4.085,4.097,8.000,280.113,10,0.393,1,822.367,134.557,829.975,None,None,None,None,None,None,None,-10921639,822.367,805,267,1660,64967,309.059,1.113,0.071,0.353
ID2231,2231,1,-1,4.378,5.548,8.000,280.113,10,0.393,1,4314.013,350.152,3248.215,None,None,None,None,None,None,None,-10921639,4314.013,4386,2181,6021,340807,1041.791,1.107,0.254,1.676
ID2503,2503,2,-1,6.461,5.466,7.500,280.113,10,0.393,1,4323.278,217.177,1594.873,None,None,None,None,None,None,None,-10921639,4323.278,4342,1410,7308,341539,1616.392,1.114,0.175,0.797
