Label,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MEAN_INTENSITY01,MEAN_INTENSITY02,MEAN_INTENSITY03,MEAN_INTENSITY04,MEAN_INTENSITY05,MEAN_INTENSITY06,MEAN_INTENSITY07,MEAN_INTENSITY08,MEAN_INTENSITY09,MEAN_INTENSITY10,MANUAL_COLOR,MEAN_INTENSITY,MEDIAN_INTENSITY,MIN_INTENSITY,MAX_INTENSITY,TOTAL_INTENSITY,STANDARD_DEVIATION,ESTIMATED_DIAMETER,CONTRAST,SNR
ID710,710,0,-1,3.10197,2.5284,2.2,0,0,0.39269,1,274.57851,496.90909,2487.22314,None,None,None,None,None,None,None,-10921639,274.57851,250,1,951,33224,175.95548,0.8847,0.1518,0.41132
ID707,707,0,-1,3.06686,2.51669,2.2,62.7644,1,0.39269,1,313.64463,463.09091,2291.28099,None,None,None,None,None,None,None,-10921639,313.64463,256,9,921,37951,203.00627,1.39379,0.1527,0.40934
ID704,704,0,-1,3.07856,2.51669,2.2,125.5288,2,0.39269,1,356.84298,407.17355,2188.50413,None,None,None,None,None,None,None,-10921639,356.84298,302,11,1175,43178,254.96758,1.40631,0.15497,0.37558
ID698,698,0,-1,3.04344,2.50499,2.2,188.2932,3,0.39269,1,379.79339,363.7686,2116.2562,None,None,None,None,None,None,None,-10921639,379.79339,349,7,1116,45955,262.28064,1.40692,0.15172,0.3815
ID695,695,0,-1,3.09027,2.48158,2.2,251.0576,4,0.39269,1,395.87603,329.41322,2080,None,None,None,None,None,None,None,-10921639,395.87603,328,70,1030,47901,266.41946,1.00438,0.13672,0.35745
ID689,689,0,-1,3.11368,2.50499,2.2,313.822,5,0.39269,1,451.1405,333.10744,1992.70248,None,None,None,None,None,None,None,-10921639,451.1405,385,41,1124,54588,287.84835,1.39621,0.15974,0.43176
ID683,683,0,-1,3.10197,2.50499,2.2,376.5864,6,0.39269,1,516.28926,319.19008,1936.80992,None,None,None,None,None,None,None,-10921639,516.28926,428,79,1357,62471,347.74482,1.00281,0.21082,0.51701
ID677,677,0,-1,3.12538,2.49328,2.2,439.3508,7,0.39269,1,548.7686,318.95041,1861.83471,None,None,None,None,None,None,None,-10921639,548.7686,489,49,1618,66401,357.8433,1.00666,0.19952,0.51016
ID668,668,0,-1,3.12538,2.44646,2.2,502.1152,8,0.39269,1,474.06612,257.98347,1503.78512,None,None,None,None,None,None,None,-10921639,474.06612,378,22,1394,57362,359.21785,1.00468,0.14449,0.33323
ID662,662,0,-1,3.25414,2.36452,2.2,564.8796,9,0.39269,1,446.33058,197.99174,1102.53719,None,None,None,None,None,None,None,-10921639,446.33058,301,13,1522,54006,373.6215,1.49223,0.1326,0.27972
