Label,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MEAN_INTENSITY01,MEAN_INTENSITY02,MEAN_INTENSITY03,MEAN_INTENSITY04,MEAN_INTENSITY05,MEAN_INTENSITY06,MEAN_INTENSITY07,MEAN_INTENSITY08,MEAN_INTENSITY09,MEAN_INTENSITY10,MANUAL_COLOR,MEAN_INTENSITY,MEDIAN_INTENSITY,MIN_INTENSITY,MAX_INTENSITY,TOTAL_INTENSITY,STANDARD_DEVIATION,ESTIMATED_DIAMETER,CONTRAST,SNR
ID1463,1463,0,-1,3.810,3.433,5,0.000,0,0.393,1,692.456,246.392,1202.114,None,None,None,None,None,None,None,-10921639,692.456,667,319,1348,54704,241.190,1.096,0.128,0.650
ID1457,1457,0,-1,3.845,3.450,5,28.011,1,0.393,1,779.544,238.582,1344.759,None,None,None,None,None,None,None,-10921639,779.544,746,404,1305,61584,238.812,1.100,0.164,0.921
ID1451,1451,0,-1,3.801,3.406,5,56.023,2,0.393,1,689.418,208.823,1172.886,None,None,None,None,None,None,None,-10921639,689.418,699,261,1315,54464,237.571,1.095,0.118,0.611
ID1445,1445,0,-1,3.854,3.362,5,84.034,3,0.393,1,783.405,238.684,1127.696,None,None,None,None,None,None,None,-10921639,783.405,777,410,1389,61889,240.927,1.096,0.153,0.865
ID1439,1439,0,-1,3.819,3.424,5,112.045,4,0.393,1,728.532,213.911,1121.278,None,None,None,None,None,None,None,-10921639,728.532,701,291,1346,57554,245.042,1.100,0.116,0.619
ID1433,1433,0,-1,3.828,3.319,5,140.056,5,0.393,1,756.709,236.430,1250.861,None,None,None,None,None,None,None,-10921639,756.709,744,291,1242,59780,249.336,1.106,0.122,0.660
ID1427,1427,0,-1,3.801,3.292,5,168.068,6,0.393,1,801.304,187.835,1045.747,None,None,None,None,None,None,None,-10921639,801.304,787,276,1437,63303,306.527,1.101,0.136,0.626
ID1421,1421,0,-1,3.731,3.275,5,196.079,7,0.393,1,905.342,198.873,1097.684,None,None,None,None,None,None,None,-10921639,905.342,899,439,1522,71522,235.203,1.100,0.171,1.122
ID1415,1415,0,-1,3.749,3.257,5,224.090,8,0.393,1,844.114,185.038,1110.911,None,None,None,None,None,None,None,-10921639,844.114,856,393,1565,66685,258.011,1.099,0.150,0.852
ID1409,1409,0,-1,3.766,3.275,5,252.102,9,0.393,1,845.759,214.278,1100.759,None,None,None,None,None,None,None,-10921639,845.759,832,312,1535,66815,285.234,1.101,0.144,0.748
ID1403,1403,0,-1,3.775,3.310,5,280.113,10,0.393,1,912.861,212.975,1185.304,None,None,None,None,None,None,None,-10921639,912.861,900,510,1494,72116,261.398,1.102,0.170,1.013
ID1397,1397,0,-1,3.766,3.327,5,308.124,11,0.393,1,935.646,177.519,1231.038,None,None,None,None,None,None,None,-10921639,935.646,908,466,1492,73916,260.690,1.103,0.158,0.979
ID1391,1391,0,-1,3.652,3.292,5,336.136,12,0.393,1,914.418,201.443,1096.823,None,None,None,None,None,None,None,-10921639,914.418,939,393,1434,72239,252.780,1.104,0.142,0.898
ID1385,1385,0,-1,3.714,3.266,5,364.147,13,0.393,1,829.228,196.620,1111.025,None,None,None,None,None,None,None,-10921639,829.228,781,225,1518,65509,296.236,1.109,0.104,0.529
ID1379,1379,0,-1,3.591,3.292,5,392.158,14,0.393,1,981.570,175.456,961.494,None,None,None,None,None,None,None,-10921639,981.570,975,383,1671,77544,302.666,1.105,0.163,0.909
