Label,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MEAN_INTENSITY01,MEAN_INTENSITY02,MEAN_INTENSITY03,MEAN_INTENSITY04,MEAN_INTENSITY05,MEAN_INTENSITY06,MEAN_INTENSITY07,MEAN_INTENSITY08,MEAN_INTENSITY09,MEAN_INTENSITY10,MANUAL_COLOR,MEAN_INTENSITY,MEDIAN_INTENSITY,MIN_INTENSITY,MAX_INTENSITY,TOTAL_INTENSITY,STANDARD_DEVIATION,ESTIMATED_DIAMETER,CONTRAST,SNR
ID2776,2776,2,-1,6.76581,4.26082,7.20000,0.00000,0,0.39269,1,193.25620,124.21488,2022.80165,None,None,None,None,None,None,None,-10921639,193.25620,175,37,440,23384,90.14835,1.33886,-0.00914,-0.03954
ID2952,2952,3,-1,6.85946,3.69896,6.00000,0.00000,0,0.39269,1,274.90083,137.25620,2043.65289,None,None,None,None,None,None,None,-10921639,274.90083,220,50,745,33263,187.25021,1.49223,0.08063,0.21908
ID2411,2411,0,-1,5.39626,4.23741,4.40000,0.00000,0,0.39269,1,315.21488,133.47107,1550.87603,None,None,None,None,None,None,None,-10921639,315.21488,239,61,942,38141,201.85726,1.00460,0.20085,0.52237
ID2461,2461,1,-1,6.09860,3.47655,4.00000,0.00000,0,0.39269,1,132.03306,65.44628,505.09917,None,None,None,None,None,None,None,-10921639,132.03306,130,20,379,15976,63.24251,1.33339,-0.01096,-0.04626
ID2770,2770,2,-1,6.85946,4.21400,7.00000,62.76440,1,0.39269,1,161.18182,92.57851,1739.18182,None,None,None,None,None,None,None,-10921639,161.18182,138,32,509,19503,89.58906,1.49223,-0.07531,-0.29306
ID2946,2946,3,-1,6.85946,3.58190,6.00000,62.76440,1,0.39269,1,278.93388,126.12397,2237.81818,None,None,None,None,None,None,None,-10921639,278.93388,194,51,857,33751,198.75419,1.32774,0.02543,0.06960
ID2405,2405,0,-1,5.33773,4.19059,4.20000,62.76440,1,0.39269,1,336.38843,113.50413,1187.03306,None,None,None,None,None,None,None,-10921639,336.38843,266,87,976,40703,190.83581,1.00291,0.19811,0.58293
ID2455,2455,1,-1,6.12201,3.40632,4.00000,62.76440,1,0.39269,1,179.94215,74.00000,536.69421,None,None,None,None,None,None,None,-10921639,179.94215,157,52,618,21773,80.42660,1.37116,0.02256,0.09871
ID2449,2449,1,-1,6.09860,3.37120,4.00000,125.52880,2,0.39269,1,281.14876,85.39669,498.63636,None,None,None,None,None,None,None,-10921639,281.14876,219,63,1030,34019,182.11501,1.33944,0.11422,0.31652
ID2764,2764,2,-1,6.89457,4.41299,6.80000,125.52880,2,0.39269,1,273.73554,112.04959,1720.33058,None,None,None,None,None,None,None,-10921639,273.73554,241,43,573,33122,132.80454,1.10399,0.00583,0.02388
ID2940,2940,3,-1,6.85946,3.60531,6.00000,125.52880,2,0.39269,1,454.37190,136.59504,2034.82645,None,None,None,None,None,None,None,-10921639,454.37190,445,53,1136,54979,266.07230,1.33798,0.15196,0.45053
ID2399,2399,0,-1,5.31432,4.12036,4.20000,125.52880,2,0.39269,1,407.01653,120.33884,1209.06612,None,None,None,None,None,None,None,-10921639,407.01653,330,97,1106,49249,249.54869,1.37705,0.20717,0.55982
ID2758,2758,2,-1,6.82434,4.21400,6.80000,188.29320,3,0.39269,1,219.27273,111.80165,1572.32231,None,None,None,None,None,None,None,-10921639,219.27273,183,41,548,26532,131.37250,1.49223,-0.04859,-0.17049
ID2934,2934,3,-1,6.87116,3.53508,6.00000,188.29320,3,0.39269,1,344.47934,110.53719,1747.90909,None,None,None,None,None,None,None,-10921639,344.47934,238,28,1092,41682,270.11214,1.37665,0.03584,0.08825
ID2393,2393,0,-1,5.16215,4.10865,4.20000,188.29320,3,0.39269,1,485.69421,118.71074,1180.46281,None,None,None,None,None,None,None,-10921639,485.69421,412,126,1061,58769,255.77894,1.00127,0.22425,0.69566
ID2443,2443,1,-1,6.08689,3.28926,4.00000,188.29320,3,0.39269,1,365.71901,82.64463,524.32231,None,None,None,None,None,None,None,-10921639,365.71901,288,69,1276,44252,221.61209,1.33765,0.17674,0.49572
ID2387,2387,0,-1,5.04509,4.28423,4.00000,251.05760,4,0.39269,1,427.94215,75.61157,684.31405,None,None,None,None,None,None,None,-10921639,427.94215,367,66,1141,51781,246.97440,1.37446,0.21347,0.60964
ID2931,2931,3,-1,6.87116,3.67554,6.00000,251.05760,4,0.39269,1,404.86777,142.75207,1604.28926,None,None,None,None,None,None,None,-10921639,404.86777,319,38,1186,48989,271.11578,1.49223,0.02837,0.08239
ID2437,2437,1,-1,6.13371,3.16050,4.00000,251.05760,4,0.39269,1,403.94215,65.29752,435.14050,None,None,None,None,None,None,None,-10921639,403.94215,335,97,1337,48877,242.39215,1.32355,0.21830,0.59722
ID2746,2746,2,-1,6.76581,4.22571,7.00000,251.05760,4,0.39269,1,382.28099,161.68595,1788.88430,None,None,None,None,None,None,None,-10921639,382.28099,366,109,675,46256,140.00662,1.33707,0.07641,0.38763
ID2740,2740,2,-1,6.73070,4.23741,7.20000,313.82200,5,0.39269,1,271.04132,97.45455,1529.46281,None,None,None,None,None,None,None,-10921639,271.04132,242,36,622,32796,127.62513,1.24205,-0.03128,-0.13715
ID2378,2378,0,-1,4.95145,4.26082,3.80000,313.82200,5,0.39269,1,503.89256,84.56198,568.64463,None,None,None,None,None,None,None,-10921639,503.89256,462,128,1172,60971,253.76892,0.62221,0.27287,0.85133
ID2925,2925,3,-1,6.90628,3.67554,6.00000,313.82200,5,0.39269,1,524.48760,131.07438,1610.00826,None,None,None,None,None,None,None,-10921639,524.48760,531,72,1042,63463,225.05789,1.33335,0.13757,0.56364
ID2431,2431,1,-1,6.19224,2.85616,4.20000,313.82200,5,0.39269,1,824.56198,70.50413,302.20661,None,None,None,None,None,None,None,-10921639,824.56198,773,148,1830,99772,416.08675,1.00040,0.32122,0.96360
ID2372,2372,0,-1,4.78757,4.27253,3.80000,376.58640,6,0.39269,1,560.14050,80.06612,485.08264,None,None,None,None,None,None,None,-10921639,560.14050,557,94,1168,67777,266.03021,1.00328,0.26016,0.86939
ID2919,2919,3,-1,6.90628,3.68725,6.00000,376.58640,6,0.39269,1,539.67769,88.60331,1521.09917,None,None,None,None,None,None,None,-10921639,539.67769,536,213,947,65301,176.92937,1.33381,0.14172,0.75724
ID2425,2425,1,-1,6.30930,2.62204,4.20000,376.58640,6,0.39269,1,912.80165,56.34711,262.61157,None,None,None,None,None,None,None,-10921639,912.80165,841,144,2066,110449,515.05687,1.00478,0.31474,0.84851
ID2734,2734,2,-1,6.83605,4.31935,6.80000,376.58640,6,0.39269,1,293.08264,72.56198,1459.96694,None,None,None,None,None,None,None,-10921639,293.08264,252,48,825,35463,163.77884,1.49223,-0.05170,-0.19512
ID2913,2913,3,-1,7.01163,4.00330,6.20000,439.35080,7,0.39269,1,619.57025,101.19835,1203.93388,None,None,None,None,None,None,None,-10921639,619.57025,608,267,1011,74968,168.77346,1.33758,0.14963,0.95563
ID2418,2418,1,-1,6.77752,2.50499,4.60000,439.35080,7,0.39269,1,554.19835,60.71901,196.51240,None,None,None,None,None,None,None,-10921639,554.19835,309,71,2002,67058,520.06920,1.49223,0.15715,0.28944
